web-scraper-start-url,title,datasheet-src
https://www.rotorama.com/product/rcinpower-bison-22-5-7-1800kv,RCinpower Bison 22.5-7 1800Kv,https://www.rotorama.com/cms/assets/images/81470cc20710696555c52a67186abb74/7507-1000.jpg
https://www.rotorama.com/product/brotherhobby-vy-1507-1550kv,BrotherHobby VY 1507 1550Kv,https://www.rotorama.cz/cms/assets/docs/c53323aafc3c78347bb1f9191d30b978/28853-0/15071500.jpg
https://www.rotorama.com/product/axisflying-ae2207-1960kv-v2,Axisflying AE2207 V2 1960Kv,https://www.rotorama.com/cms/assets/images/d16fed37927ea88edc89422a48cb9995/23545-1175.jpg
https://www.rotorama.com/product/emax-eco-ii-2807-1700kv,Emax Eco II 2807 1700Kv,https://www.rotorama.cz/cms/assets/images/8de71bb9a9dcc260a663337444bfd153/8393-1080.jpg
https://www.rotorama.com/product/aos-supernova-1404-4000kv,AOS Supernova 1404 4000Kv,https://www.rotorama.cz/cms/assets/docs/20712f24176ff5d2f8feb5218ff53daa/31959-0/e57211-6f3d189079c542659a4b6517cf0474d0.jpg
https://www.rotorama.com/product/betafpv-1506-4200kv,BetaFPV Lava 1506 4200Kv,https://cdn.shopify.com/s/files/1/1778/6615/files/9948510e3dcfc96b7b03038a28ab2954_27261fef-16d1-4e5a-835b-a35da2fe4128_600x600.jpg?v=1706581062
https://www.rotorama.com/product/rcinpower-gts-v3-1404-6-3850kv,RCinpower GTS V3 1404.6 Plus 3850Kv,https://www.rotorama.cz/cms/assets/docs/1d82537b1090a95f6f937695b892de68/23684-0/gts-v3-14046-3850-241014-170341.jpg
https://www.rotorama.com/product/flashhobby-2207-5-1900kv,Flashhobby 2207.5 1900Kv,https://www.rotorama.cz/cms/assets/docs/3a52bcdd218f3bafef27f571880af243/29043-0/20201224104114-8704_68b5bf33ba062.jpg
https://www.rotorama.com/product/geprc-speedx2-2207e-1960kv,GEPRC SpeedX2 2207E 1960KV,https://www.rotorama.com/cms/assets/images/75c7f83577a2e4fc69185d878091a95a/22735-1200.jpg
https://www.rotorama.com/product/emax-ecoii-2306-1700kv,Emax Eco II 2306 1700KV,https://www.rotorama.cz/cms/assets/images/a31d5baf9b8b8aa36c1486fad5682cbc/8876-1080.jpg
https://www.rotorama.com/product/oddityrc-spinnybois-2004-2650kv,OddityRC Spinnybois 2004 2650Kv,https://www.rotorama.cz/cms/assets/docs/b0f0d486e1a21e12659eec4ee2274782/35014-0/11-9c290891-1588-4455-9796-0cf29c4a086c-1.jpg
https://www.rotorama.com/product/brotherhobby-vy-1504-5-3950kv,BrotherHobby VY 1504.5 3950Kv,https://www.rotorama.cz/cms/assets/docs/935f60b6b12ed55c99d8f1fb71cdd0c3/27013-0/518befd6d3.jpg
https://www.rotorama.com/product/sub250-1804-3450kv,Sub250 1804 3450Kv,https://www.rotorama.com/cms/assets/docs/7f622bb2309dd4168a13d7f5dbac22ec/34309-0/6-1d353a84-57d6-4861-8fc2-ba4eab948096.jpg?v=1721893200
https://www.rotorama.com/product/geprc-speedx2-1505-4300kv,GEPRC SpeedX2 1505 4300Kv,https://www.rotorama.cz/cms/assets/docs/8b4013ad3ba52e7b79089592ffacba67/19192-0/4-6.jpg
https://www.rotorama.com/product/axisflying-1505-4800kv,Axisflying C155 4800Kv,https://www.rotorama.com/cms/assets/docs/d652e7b5c43b77dbe27b5ade15f8c773/32786-0/c155.jpg
https://www.rotorama.com/product/iflight-xing-e-pro-2207-2450kv,iFlight XING-E Pro 2207 2450Kv,https://www.rotorama.cz/cms/assets/docs/1f45b3af23cb75fbe60169ec02fa483c/16574-0/2450kv.jpg
https://www.rotorama.com/product/rcinpower-gts-1304-11500kv-v3,RCinpower GTS V3 1304 11500Kv,https://www.rotorama.com/cms/assets/docs/75771c5e42c328644bf7c9350666758b/32094-0/s50dd565dd7504582a4c3b828ad64813fz.jpg
https://www.rotorama.com/product/geprc-speedx2-1404-3850kv,GEPRC SpeedX2 1404 3850Kv,https://www.rotorama.cz/cms/assets/docs/e1f254fbab5f780fe7469d8afb86537a/26543-0/4-4_6838176f7d17f.jpg
