web-scraper-order,web-scraper-start-url,title,availability ,price,datasheet-src,features
"1779654115-26","https://www.rotorama.com/product/deepspace-aether-2207-3-1960kv","DeepSpace Aether 2207.3 1960KV","Out of Stock","€ 21,39","https://www.rotorama.cz/cms/assets/docs/007b4550abc9aa2a3c0dc57915111f21/28751-0/1729912080411-0.jpg","Key Features

                                                            Size: 2207.3Kv: 1960Configuration: 12N14PMounting holes: 16mm M3Shaft: 5mmBearings: NMB Bell and base material: 7075 aluminiumMagnets: N52H ArcCable: 20AWG 15cmWeight: 35.6g (including cable)"
"1779654117-27","https://www.rotorama.com/product/brotherhobby-se-2812-1115kv","BrotherHobby SE 2812 1115KV","In Stock","€ 21,99","https://www.rotorama.cz/cms/assets/docs/15efa939b7f62b3cdbc21b6497bf02b4/27030-0/756e8271be_684be56bc8f2a.jpg","Key Features

                                                            Size: 2812Kv: 1150Configuration: 12N14PMounting holes: 19mm M3Shaft: 5mmBearings: NMB 12X6X4mmBell and base material: 7075 aluminumMagnets: N52H ArcCable: 18AWG 25cmWeight: 79g (including cable)"
"1779654119-28","https://www.rotorama.com/product/rcinpower-gts-v3-1804-3450kv","RCinpower GTS V3 1804 3450kv","On the way - May 28, 2026","€ 21,29","https://www.rotorama.cz/cms/assets/docs/61e6cc5192c76e2b4464e148d623757c/23693-0/gts-v3-1804-3450.jpg","Key Features

                                                            Stator diameter: 18mmStator height: 4mmKv: 3450Configuration: 12N14PSize: 22.7x13.2mmWeight: 12g (3cm cable)Magnets: N52H ARCMounting holes: 12mm M2Shaft: 1.5mm"
"1779654121-29","https://www.rotorama.com/product/emax-eco-ii-2807-1300kv","Emax Eco II 2807 1300Kv","On the way - Jun 24, 2026","€ 20,49","https://www.rotorama.cz/cms/assets/images/5a974f98c3310f941fff5284aebb65fa/8392-1080.jpg","Key Features

                                                            Configuration: 12N14PSize: 2807Kv: 1300Cables: 18AWG, 200mmWeight: 47.6gMagnets: N52Steel shaftMounting holes: 19mm M3"
"1779654123-30","https://www.rotorama.com/product/brotherhobby-la-2005-3450kv","BrotherHobby LA 2005 3450Kv","In Stock","€ 20,49","https://www.rotorama.cz/cms/assets/docs/43b34ec4a2e796480f9413d525494761/26961-0/1b1f7780b5.jpg","Key Features

                                                            Size: 2005Kv: 3450Configuration: 12N14PMounting holes: 12mm M2Shaft: 5mmBearings: NMB 7x3x3mmBell and base material: 7075 aluminumMagnets: N52H ArcCable: 24AWG 16cmWeight: 21g (including cable)"
"1779654125-31","https://www.rotorama.com/product/brotherhobby-la-2005-2450kv","BrotherHobby LA 2005 2450Kv","In Stock","€ 20,49","https://www.rotorama.cz/cms/assets/docs/43b34ec4a2e796480f9413d525494761/26961-0/1b1f7780b5.jpg","Key Features

                                                            


	Size: 2005
	Kv: 2450
	Configuration: 12N14P
	Mounting holes: 12mm M2
	Shaft: 5mm
	Bearings: NMB 7x3x3mm
	Bell and base material: 7075 aluminum
	Magnets: N52H Arc
	Cable: 24AWG 16cm
	Weight: 21g (including cable)"
"1779654127-32","https://www.rotorama.com/product/axisflying-c224-2204-5-1900kv","Axisflying C224 2204.5 1900Kv","In Stock","€ 20,49","https://www.rotorama.cz/cms/assets/docs/6b0c34d662b254920e962eeda3ae3d3f/23635-0/1711099640654-0-1.jpg","Key Features

                                                            Stator diameter: 22mmStator height: 4.5mmKv: 1900Configuration: 12N14PSize: Φ26.9*28.8mmMagnets: N52H ARCMounting holes: 12mm M2Shaft: 5mm"
"1779654129-33","https://www.rotorama.com/product/geprc-speedx2-2407e-1750kv","GEPRC SpeedX2 2407E 1750KV","In Stock","€ 20,09","","Key Features

                                                            Size: 2407Kv: 1750Magnets: N52HBearings: NMB/NSKConfiguration: 12N14PDimensions: 34x30mmShaft: 5mmShaft length: 13.5mmMounting holes: 16mm M3Cable: 20AWG 150mmWeight: 39g (including cable)"
"1779654131-34","https://www.rotorama.com/product/iflight-xing-1504-3100kv","iFlight XING 1504 3100Kv","In Stock","€ 19,29","/cms/assets/images/d99694a6c72fd7ddca549d2614fec6b9/13802-2774.png","Key Features

                                                            Size: 1504KV: 3100Weight: 12gDimensions: φ21.6*13.5mmMounting holes: 9mm M2Cables: 160mm 26AWGMagnets: N52H RoundBearings: NSK φ5*φ2*2.5Configuration: 12N14P"
"1779654133-35","https://www.rotorama.com/product/iflight-xing-2205-2300kv","iFlight XING 2205 2300kv","In Stock","€ 18,79","","Key Features

                                                            Size: 2205KV: 2300Configuration: 12N14PPropellers: 3-5""Mounting holes: 12mm M2Magnets: N52HWeight: 13g"
"1779654135-36","https://www.rotorama.com/product/rcinpower-bison-22-5-7-1800kv","RCinpower Bison 22.5-7 1800Kv","In Stock","€ 19,19","/cms/assets/images/81470cc20710696555c52a67186abb74/7507-1000.jpg","Key Features

                                                            Stator width: 22.5mmStator height: 7mmKv: 1800Weight: 33gConfiguration: 12N14PMagnets: N50H ARCShaft: Super Hard Alloy SteelBearings: D4*D11*H4 694zz Japan NMB"
"1779654137-37","https://www.rotorama.com/product/brotherhobby-vy-1507-1550kv","BrotherHobby VY 1507 1550Kv","In Stock","€ 18,49","https://www.rotorama.cz/cms/assets/docs/c53323aafc3c78347bb1f9191d30b978/28853-0/15071500.jpg","Key Features

                                                            Size: 1507Kv: 1550Configuration: 12N14PMounting Holes: 12mm M2Shaft: 5mmBearings: NSK 5x2x2.5mmBell and Base Material: 7075 AluminumMagnets: N52H ArcCable: 24AWG 16cmWeight: 16g (including cable)"
"1779654139-38","https://www.rotorama.com/product/axisflying-ae2207-1960kv-v2","Axisflying AE2207 V2 1960Kv","On the way - Jun 30, 2026","€ 18,49","/cms/assets/images/d16fed37927ea88edc89422a48cb9995/23545-1175.jpg","Key Features

                                                            Size: 2207Kv: 1960Configuration: 12N14PDimensions: 27.5x33.2mmCables: 20AWG 150mmWeight: 35.2g (including cables)"
"1779654141-39","https://www.rotorama.com/product/emax-eco-ii-2807-1700kv","Emax Eco II 2807 1700Kv","In Stock","€ 18,49","https://www.rotorama.cz/cms/assets/images/8de71bb9a9dcc260a663337444bfd153/8393-1080.jpg","Key Features

                                                            Configuration: 12N14PSize: 2807Kv: 1700Cables: 18AWG, 200mmWeight: 47.9gMagnets: N52Steel shaftMounting holes: 19mm M3"
"1779654143-40","https://www.rotorama.com/product/aos-supernova-1404-4000kv","AOS Supernova 1404 4000Kv","On the way","€ 17,69","https://www.rotorama.cz/cms/assets/docs/20712f24176ff5d2f8feb5218ff53daa/31959-0/e57211-6f3d189079c542659a4b6517cf0474d0.jpg","Key Features

                                                            Size: 1404.5Kv: 4000Shaft: 1.5mmDimensions: Φ18.75*13.2mmMagnets: N52H ARCMounting holes: 9mm M2Weight: 10.2g (3cm cable)"
"1779654145-41","https://www.rotorama.com/product/flycat-5010-750kv","FlyCat i-Rotor 5010 750Kv","In Stock","€ 17,59","","Key Features

                                                            Outer dimensions: 5010Stator dimensions: 4007Kv: 750Configuration: 12N14PCable: 18AWG 35cmWeight: 90g (including cable)"
"1779654147-42","https://www.rotorama.com/product/betafpv-1506-4200kv","BetaFPV Lava 1506 4200Kv","In Stock","€ 17,19","https://cdn.shopify.com/s/files/1/1778/6615/files/9948510e3dcfc96b7b03038a28ab2954_27261fef-16d1-4e5a-835b-a35da2fe4128_600x600.jpg?v=1706581062","Key Features

                                                            Size: 1506Kv: 4200Wires: 8 cm 24 AWGMounting holes: 12 mm M2Shaft diameter: 1.5 mmWeight: 13.6 g"
"1779654149-43","https://www.rotorama.com/product/rcinpower-gts-v3-1404-6-3850kv","RCinpower GTS V3 1404.6 Plus 3850Kv","On the way","€ 17,09","https://www.rotorama.cz/cms/assets/docs/1d82537b1090a95f6f937695b892de68/23684-0/gts-v3-14046-3850-241014-170341.jpg","Key Features

                                                            Stator diameter: 14mmStator height: 4.6mmKv: 3850Configuration: 9N12PSize: 18.2x13.1mmWeight: 9g (3cm cable)Magnets: N52H ARCMounting holes: 9mm M2Shaft: 1.5mm"
"1779654151-44","https://www.rotorama.com/product/flyfish-flash-1804-2450kv","FlyfishRC Flash 1804 2450Kv","In Stock","€ 16,29","","Key Features

                                                            Size: 1804Kv: 2450Configuration: 12N14PDimensions: 16.5x23.8mmWeight: 14g (including cable)Cable: 22AWG 150mmMounting holes: 12mm M2Magnets: N52SHBearings: NMBBack: 7075 aluminum alloy"
