web-scraper-order,web-scraper-start-url,title,availability ,price,datasheet-src,features
"1779654197-67","https://www.rotorama.com/product/geprc-speedx2-1202-5-10000kv","GEPRC SpeedX2 1202.5 10000KV","In Stock","€ 13,49","https://www.rotorama.cz/cms/assets/docs/7cf0eff70ba2f594c06a52c1d0ffe405/31154-0/4-1-6908d1d5c537f.jpg","Key Features

                                                            Size: 1202.5Kv: 10000Cable: 60mm 28AWGMounting holes: M2 Ø9mmInternal shaft diameter: 2mmExternal shaft diameter: 1.5mmBearing: 415ZZWeight: 4.53g"
"1779654200-68","https://www.rotorama.com/product/flashhobby-1408-3650kv-2","Flashhobby A1408 3650Kv (5mm)","In Stock","€ 13,09","https://www.rotorama.cz/cms/assets/docs/02127863faa61a4cfdcd7063d52e4226/29171-0/1408.jpg","Key Features

                                                            Size: 1408Kv: 3650Propeller shaft diameter: 5mmInner shaft diameter: 2mmConfiguration: 9N12PWeight: 16.5gCables: 26AWG 115mmMounting holes: 12mm M2Material: Aluminum Alloy 7075-T6Bearings: NMBMagnets: N50H"
"1779654201-69","https://www.rotorama.com/product/flashhobby-2004-2100kv-v2","Flashhobby 2004 V2 2100Kv","In Stock","€ 12,29","https://www.rotorama.cz/cms/assets/docs/5ce7982d5a40b5fa266920ade3d2d5fd/29110-0/k2004-v2-1750kv-00-00-1-1-810570.jpg","Key Features

                                                            Size: 2004Kv: 2100Propeller shaft diameter: 1.5mmInner shaft diameter: 3mmConfiguration: 12N14PWeight: 18gCables: 24AWG 150mmMounting holes: 12mm M2"
"1779654206-70","https://www.rotorama.com/product/happymodel-rs1102-10000kv","Happymodel RS1102 10000KV","In Stock","€ 12,19","","Key Features

                                                            Size: 1102Kv: 11000Configuration: 9N12PCables: 35mmMounting holes: 6,6mm M1.4Shaft size: 1.5mmDimensions: Φ13.5mm*14mmWeight: 2.8g with cable and connector"
"1779654207-71","https://www.rotorama.com/product/happymodel-ex1404-3500kv-2","Happymodel EX1404 3500Kv","In Stock","€ 12,19","/cms/assets/images/3b9fb5d3df2ab5f7249c6b816696a76f/11909-1000.jpg","Key Features

                                                            


	Size: 1404
	Kv: 3500
	Configuration: 9N12P
	Shaft: 1.5mm
	Dimensions: Φ17.8mm*17.6mm
	Weight: 9g (including cable)
	Mounting holes: 9mm M2"
"1779654209-72","https://www.rotorama.com/product/flashhobby-1303-8000kv","Flashhobby K1303 8000KV","In Stock","€ 11,89","https://www.rotorama.cz/cms/assets/docs/fdf9588ed9be0486c40cdcba8291ee53/29125-0/1303-motor-drawing-912679_68b958e6ee3fc.jpg","Key Features

                                                            Motor dimensions: Φ18.4x11mmSize: 1303Kv: 8000Weight: 8.2gConfiguration: 9N12PInner shaft: 3.0mmMounting holes: 9mm M2Cables: 133mm 28AWG"
"1779654211-73","https://www.rotorama.com/product/geprc-speedx2-1104-7500kv","GEPRC SpeedX2 1104 7500KV","In Stock","€ 11,49","https://www.rotorama.com/cms/assets/docs/e5a9675d3217dfb5d3f3353cc9bc39a7/33731-0/6-4_696e37da70985.jpg","Key Features

                                                            Size: 1104KV: 7500Shaft diameter: 1.5 mmShaft height: 4.95 mmMounting holes: 9 mm M2Wires: 60mm 28AWGWeight: 5.2 g"
"1779654213-74","https://www.rotorama.com/product/flashhobby-a1207-5200kv","Flashhobby A1207 5200KV","In Stock","€ 10,99","https://www.rotorama.cz/cms/assets/docs/55541783f59584e55a348e3573de4bb3/29284-0/snimek-obrazovky-2025-09-08-150134_68bee1a827234.jpg","Key Features

                                                            Size: 1207Kv: 5200Propeller Shaft Diameter: 1.5mmInner Shaft Diameter: 2.0mmConfiguration: 9N12PWeight: 10.3gCables: 26AWG, Length 115mmMounting Holes: 9mm M2Material: 7075-T6 Aluminum AlloyBearings: NMBMagnets: N50H"
"1779654215-75","https://www.rotorama.com/product/happymodel-rs0802-20000kv-2","Happymodel RS0802 20000Kv","In Stock","€ 9,79","/cms/assets/images/7886e6074ab2ae947f63dbce5c5a4793/11929-665.jpg","Key Features

                                                            Size: 0802Kv: 20000Shaft: 1.5mmConfiguration: 9N12PDimensions: Φ10.5mm*13.5mmConector: JST1.25Cable length: 30mmWeight: 2g"
"1779654217-76","https://www.rotorama.com/product/happymodel-ex0802-19000kv-2","Happymodel EX0802 19000Kv","In Stock","€ 9,39","/cms/assets/images/13e3f388ed502cb8843152ee62c3ee90/11893-833.jpg","Key Features

                                                            Size: 0802Kv: 19000Shaft: 1mmConfiguration: 9N12PDimensions: Φ10.5mm*14.9mmConector: JST 1.25mmCable length: 27mmWeight: 1.7g"
