Motor type,The voltage (V),Propeller,current (A),thrust (G),power (W),efficiency (G/W),speed (RPM)
ECOII2306-1700KV,25.2,DALPROP Cyclone 5040,2.8,300,70.56,4.25,15700
ECOII2306-1700KV,25.2,DALPROP Cyclone 5040,5.4,500,136.08,3.67,20100
ECOII2306-1700KV,25.2,DALPROP Cyclone 5040,8.5,700,214.20,3.27,23400
ECOII2306-1700KV,25.2,DALPROP Cyclone 5040,23.5,1500,592.20,2.53,Max
