Motor type,The voltage (V),Propeller,current (A),thrust (G),power (W),efficiency (G/W),speed (RPM)
ECOII-2807-1700KV,16.8,Gemfan7040 3-blade propeller,3.4,300,57.12,5.25,8900
ECOII-2807-1700KV,16.8,Gemfan7040 3-blade propeller,6.3,500,105.84,4.72,11100
ECOII-2807-1700KV,16.8,Gemfan7040 3-blade propeller,9.9,700,166.32,4.21,12900
ECOII-2807-1700KV,16.8,Gemfan7040 3-blade propeller,14,900,235.20,3.83,14300
ECOII-2807-1700KV,16.8,Gemfan7040 3-blade propeller,17.9,1100,300.72,3.66,15800
ECOII-2807-1700KV,16.8,Gemfan7040 3-blade propeller,43.7,1990,734.16,2.71,Max
