Motor type,The voltage (V),Propeller,current (A),thrust (G),power (W),efficiency (G/W),speed (RPM)
ECOII2306-1700KV,25.2,HQ 5*4.3*3,2.7,300,68.04,4.41,13900
ECOII2306-1700KV,25.2,HQ 5*4.3*3,5.2,500,131.04,3.82,17700
ECOII2306-1700KV,25.2,HQ 5*4.3*3,8.5,700,214.20,3.27,21100
ECOII2306-1700KV,25.2,HQ 5*4.3*3,26.8,1670,675.36,2.47,Max
