Motor type,The voltage (V),Propeller,current (A),thrust (G),power (W),efficiency (G/W),speed (RPM)
ECOII2306-1700KV,25.2,HQ 5.5*4*3,2.6,300,65.52,4.58,12700
ECOII2306-1700KV,25.2,HQ 5.5*4*3,5,500,126.00,3.97,16100
ECOII2306-1700KV,25.2,HQ 5.5*4*3,7.9,700,199.08,3.52,18900
ECOII2306-1700KV,25.2,HQ 5.5*4*3,31.8,1850,801.36,2.31,Max
