Prop (inch),Voltages (V),Throttle (%),Load Currency (A),Pull(g),Power(W),Efficiency(g/W),Temperature(in full throttle load 3's)
GF1608R*3,3.7,50%,2.5,36,9.3,3.892,63℃
GF1608R*3,3.7,100%,8.7,87,32.2,2.703,63℃
GF1609R*4,3.7,50%,2.3,41,8.5,4.818,67℃
GF1609R*4,3.7,100%,9.7,94,35.9,2.619,67℃
GF1635R*3,3.7,50%,2.3,37,8.5,4.348,63℃
GF1635R*3,3.7,100%,8.7,87,32.2,2.703,63℃
GF1635R*4,3.7,50%,2.6,43,9.6,4.470,67℃
GF1635R*4,3.7,100%,9.7,95,35.9,2.647,67℃
GF2015R*2,3.7,50%,3,50,11.1,4.505,70℃
GF2015R*2,3.7,100%,10.8,107,40.0,2.678,70℃
GF2023R*3,3.7,50%,3.9,53,14.4,3.673,82℃
GF2023R*3,3.7,100%,14.6,98,54.0,1.814,82℃
GF45mm*2,3.7,50%,2.5,40,9.3,4.324,64℃
GF45mm*2,3.7,100%,8.9,95,32.9,2.885,64℃
GF45mm*3,3.7,50%,2.9,47,10.7,4.380,70℃
GF45mm*3,3.7,100%,10.8,104,40.0,2.603,70℃
