Motor type,The voltage (V),Propeller,current (A),thrust (G),power (W),efficiency (G/W),speed (RPM)
ECOII2306-1700KV,25.2,DALPROP Cyclone 5050,2.9,300,73.08,4.11,13200
ECOII2306-1700KV,25.2,DALPROP Cyclone 5050,5.6,500,141.12,3.54,16700
ECOII2306-1700KV,25.2,DALPROP Cyclone 5050,9.4,700,236.88,2.96,19800
ECOII2306-1700KV,25.2,DALPROP Cyclone 5050,34.8,1710,876.96,1.95,Max
