Motor type,The voltage (V),Propeller,current (A),thrust (G),power (W),efficiency (G/W),speed (RPM)
ECOII2306-1700KV,25.2,DALPROP Cyclone 5046,2.9,300,73.08,4.11,13900
ECOII2306-1700KV,25.2,DALPROP Cyclone 5046,5.5,500,138.60,3.61,17800
ECOII2306-1700KV,25.2,DALPROP Cyclone 5046,8.8,700,221.76,3.16,20600
ECOII2306-1700KV,25.2,DALPROP Cyclone 5046,30.5,1690,768.60,2.20,Max
