Motor type,The voltage (V),Propeller,current (A),thrust (G),power (W),efficiency (G/W),speed (RPM)
ECOII2306-1700KV,25.2,HQ 5*4.8*3,2.8,300,70.56,4.25,14000
ECOII2306-1700KV,25.2,HQ 5*4.8*3,5.5,500,138.60,3.61,17700
ECOII2306-1700KV,25.2,HQ 5*4.8*3,8.2,700,206.64,3.39,21000
ECOII2306-1700KV,25.2,HQ 5*4.8*3,29.4,1680,740.88,2.27,Max
